user_id,nickname,school,major,education,username,password,created_at
11,徐杰,复旦大学,工学,博士,徐杰353,zBKOKiY7,2024-09-23 14:12:29
21,陈刚,上海交通大学,文学,专科,陈刚253,5naRi7n9,2025-05-17 14:12:29
47,王勇,北京大学,工学,本科,王勇814,pcK8ij0P,2025-01-25 14:12:29
45,陈军,上海交通大学,军事学,博士,陈军832,JhHEKCgn,2025-05-22 14:12:29
29,杨磊,南京大学,管理学,专科,杨磊951,uldrWNNb,2025-05-22 14:12:29
31,黄强,复旦大学,教育学,专科,黄强410,hH6xE8HB,2025-06-27 14:12:29
95,陈勇,清华大学,农学,博士,陈勇390,CTzxO4fV,2025-03-29 14:12:29
96,杨磊,浙江大学,文学,博士,杨磊318,IeWkMdds,2024-07-25 14:12:29
57,李勇,复旦大学,农学,硕士,李勇433,ypoIKRyC,2025-02-21 14:12:29
56,吴磊,复旦大学,历史学,专科,吴磊765,pj1o57Xn,2024-10-07 14:12:29
88,杨勇,复旦大学,艺术学,博士,杨勇925,twtNNBRw,2024-07-29 14:12:29
10,陈杰,北京大学,经济学,博士,陈杰222,1PSlQGxw,2024-09-09 14:12:29
84,黄勇,浙江大学,教育学,专科,黄勇253,1fLwYzgy,2024-09-24 14:12:29
88,赵磊,复旦大学,历史学,专科,赵磊535,IGyGUcKa,2025-07-08 14:12:29
48,李伟,北京大学,理学,高中,李伟814,5gD4xbZY,2025-06-20 14:12:29
67,黄杰,浙江大学,哲学,硕士,黄杰519,OFvIORTL,2024-10-24 14:12:29
43,吴勇,南京大学,教育学,硕士,吴勇594,5IrwkJWv,2024-10-22 14:12:29
34,王勇,浙江大学,农学,硕士,王勇199,CILTGXNn,2024-08-17 14:12:29
100,徐涛,上海交通大学,艺术学,博士,徐涛377,g2q5bbSy,2025-01-13 14:12:29
60,黄勇,清华大学,经济学,硕士,黄勇874,9mQJuXOd,2024-12-17 14:12:29
68,吴军,浙江大学,管理学,硕士,吴军887,2Br38dWq,2024-09-23 14:12:29
20,张军,南京大学,哲学,硕士,张军360,xFjJbTg4,2025-07-07 14:12:29
88,周杰,浙江大学,管理学,博士,周杰870,HJYnMuoZ,2024-09-01 14:12:29
84,徐明,浙江大学,法学,专科,徐明815,8f3VjkBQ,2025-02-24 14:12:29
5,吴磊,北京大学,农学,硕士,吴磊543,kzjSyrxy,2024-07-29 14:12:29
94,杨涛,复旦大学,医学,高中,杨涛494,ekZ6E1Lr,2024-09-29 14:12:29
34,吴杰,北京大学,军事学,专科,吴杰236,fCPNkE5f,2025-05-11 14:12:29
82,杨勇,上海交通大学,管理学,硕士,杨勇474,sUcVOK1M,2024-12-03 14:12:29
5,吴磊,南京大学,文学,本科,吴磊254,FUbtBJaw,2024-10-25 14:12:29
70,王军,北京大学,管理学,高中,王军144,Ibkc2nFz,2025-05-29 14:12:29
51,黄勇,复旦大学,艺术学,硕士,黄勇710,T5Rqc0Qz,2025-04-16 14:12:29
69,李磊,上海交通大学,艺术学,博士,李磊598,qIRW9dp9,2025-07-07 14:12:29
62,赵杰,北京大学,医学,本科,赵杰866,yvFU5Owh,2025-06-13 14:12:29
35,张强,北京大学,经济学,博士,张强578,hbPviZzk,2025-02-19 14:12:29
87,吴明,上海交通大学,艺术学,博士,吴明354,LOqTx7Wj,2025-02-27 14:12:29
79,徐强,浙江大学,医学,硕士,徐强345,1PJOOgoN,2024-10-18 14:12:29
61,周军,复旦大学,文学,硕士,周军168,o03xqf6r,2025-07-09 14:12:29
7,陈刚,南京大学,军事学,硕士,陈刚803,pEV9303S,2024-10-12 14:12:29
83,陈勇,南京大学,经济学,博士,陈勇845,6U6dgKVq,2025-03-27 14:12:29
59,黄杰,南京大学,文学,博士,黄杰951,Vmgu3nGD,2024-09-23 14:12:29
42,陈勇,清华大学,理学,本科,陈勇636,3gSvoKUI,2025-06-11 14:12:29
31,周涛,上海交通大学,历史学,本科,周涛552,2LuB9oE6,2024-11-28 14:12:29
64,赵军,南京大学,经济学,专科,赵军607,mDEtcwzI,2025-05-28 14:12:29
35,吴刚,清华大学,文学,硕士,吴刚244,d7mgh3e0,2025-06-13 14:12:29
97,王刚,北京大学,理学,高中,王刚860,GQA6HsTw,2025-05-24 14:12:29
46,张磊,北京大学,历史学,专科,张磊884,Dexfsm25,2025-05-09 14:12:29
85,王伟,南京大学,经济学,博士,王伟332,tW34QoTz,2025-04-13 14:12:29
7,陈勇,北京大学,工学,高中,陈勇668,1a5NzpQI,2025-03-29 14:12:29
37,李勇,复旦大学,法学,高中,李勇426,HJk0uk8P,2025-01-22 14:12:29
99,赵涛,上海交通大学,医学,高中,赵涛749,hpWv0BFi,2025-06-11 14:12:29
