user_id,nickname,school,major,education,username,password,created_at
1,哲学爱好者,北京大学,哲学,本科,xscafff,1888456,2025/8/7 0:00
2,郑娜,复旦大学,哲学,本科,z娜22,d8hyJQB8,2025/8/2 0:00
3,钱娜,中国人民大学,经济学,硕士,q娜70,yR8sTADl,2025/6/18 0:00
4,吴静,上海财经大学,金融学,本科,w静30,9RW12Bd9,2025/7/19 0:00
5,孙敏,武汉大学,金融工程,硕士,s敏71,vlyim7sy,2025/7/11 0:00
6,周秀英,中国政法大学,法学,博士,z秀英41,EE93GwgX,2025/7/17 0:00
7,冯伟,西南政法大学,法学,本科,f伟79,wMroLvBz,2025/7/30 0:00
8,王秀英,北京师范大学,教育学,硕士,w秀英23,AF1SSD3Z,2025/8/7 0:00
9,李伟,华东师范大学,学前教育,本科,l伟53,nV9ps4Fp,2025/7/19 0:00
10,钱秀英,南京大学,中国语言文学,博士,q秀英31,m48bHbGB,2025/6/11 0:00
11,孙芳,中国传媒大学,新闻学,本科,s芳82,4xWrS7q6,2025/7/23 0:00
12,吴强,北京外国语大学,英语,本科,w强55,aoo2Udkr,2025/7/31 0:00
13,陈静,北京大学,历史学,博士,c静30,HCSLYv39,2025/6/20 0:00
14,王磊,陕西师范大学,文物与博物馆学,硕士,w磊69,3BKhs24J,2025/7/8 0:00
15,陈强,北京大学,数学,本科,c强65,58WuyFTr,2025/7/24 0:00
16,周伟,中国科学技术大学,物理学,硕士,z伟50,8c7I2stO,2025/6/23 0:00
17,吴伟,南开大学,化学,本科,w伟71,QVC8zV00,2025/6/18 0:00
18,陈磊,清华大学,计算机科学与技术,博士,c磊75,F5qBQsOr,2025/7/9 0:00
6,周秀英,浙江大学,软件工程,本科,z秀英35,7L3TlovZ,2025/7/9 0:00
20,赵洋,哈尔滨工业大学,电子信息工程,本科,z洋56,lN13lEav,2025/7/19 0:00
21,吴芳,中国农业大学,农学,本科,w芳24,BGDnCInR,2025/7/2 0:00
22,孙洋,南京农业大学,园艺,本科,s洋82,58Ik6Mme,2025/8/7 0:00
23,吴秀英,北京协和医学院,临床医学,博士,w秀英45,SATWt25r,2025/6/25 0:00
24,李娜,中国药科大学,药学,本科,l娜49,yOFTWIR0,2025/8/8 0:00
25,钱敏,复旦大学,预防医学,博士,q敏74,cLpcEfNs,2025/6/22 0:00
26,冯军,清华大学,工商管理,本科,f军35,mmCazYkF,2025/6/18 0:00
27,孙伟,中国人民大学,人力资源管理,本科,s伟28,aGcQPL4F,2025/7/5 0:00
28,王敏,上海财经大学,会计学,硕士,w敏63,AQTTCAai,2025/7/20 0:00
29,孙娜,中央美术学院,视觉传达设计,本科,s娜68,zEthIF8v,2025/8/2 0:00
30,吴伟,中央音乐学院,音乐表演,硕士,w伟72,4rF7ydiG,2025/7/21 0:00
31,吴军,北京电影学院,导演,本科,w军58,24gQOedQ,2025/7/9 0:00
32,赵静,国防大学,军事指挥,本科,z静50,XMQr1Gq4,2025/7/25 0:00
33,冯军,陆军工程大学,军事工程,博士,f军82,cdDp1FFX,2025/7/3 0:00
34,陆离,华东师范大学,计算机科学与技术,本科,yzx,123456,2025/7/3 0:00
